NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
936;2;8077042;R;;LIBERDADE;10;;;;;M;100;L;-30,03290783;-51,2056101
937;2;8078024;R;;MIGUEL TOSTES;505;;;;;M;100;R;-30,03244799;-51,20581394
938;2;8078024;R;;MIGUEL TOSTES;435;;;;;M;100;R;-30,03200914;-51,20582662
939;2;7977143;R;;CASEMIRO DE ABREU;204;;;;;M;100;L;-30,03147163;-51,20629297
940;2;7977143;R;;CASEMIRO DE ABREU;122;;;;;M;100;L;-30,03130719;-51,20714828
941;3;7977135;R;;CASTRO ALVES;325;Ao lado 335;;x;;M;100;R;-30,03042828;-51,20771704
942;2;7977135;R;;CASTRO ALVES;389;;;x;;M;100;R;-30,03055627;-51,20704523
943;2;8078024;R;;MIGUEL TOSTES;317;;;;;M;100;R;-30,03077565;-51,20585585
944;2;7977143;R;;CASEMIRO DE ABREU;310;;;;;M;100;L;-30,0316857;-51,20521456
945;2;7977143;R;;CASEMIRO DE ABREU;390;;;;;M;100;L;-30,0318835;-51,20424497
946;2;8078032;R;;MARIANTE;394;Ao lado 426;;;;U;0;;;
947;2;8078073;AV;;GOETHE;462;;x;;;M;100;L;-30,02839115;-51,20005465
948;2;7977135;R;;CASTRO ALVES;697;;;;;M;100;R;-30,03122707;-51,20357037
949;2;8078032;R;;MARIANTE;360;;;x;;M;100;L;-30,03090854;-51,20418444
950;2;7977135;R;;CASTRO ALVES;583;;;;;M;100;R;-30,03101866;-51,20464537
951;2;7977135;R;;CASTRO ALVES;511;;;;;M;100;R;-30,03079673;-51,20578395
952;2;8078024;R;;MIGUEL TOSTES;263;;;x;;M;100;R;-30,03058347;-51,20586244
953;3;8078024;R;;MIGUEL TOSTES;139;;;x;;M;100;R;-30,02918374;-51,20590613
954;2;8077125;R;;DONA LAURA;40;;;;;M;100;L;-30,02969521;-51,20543038
955;3;8077125;R;;DONA LAURA;108;;;x;;M;100;L;-30,02966087;-51,20474325
956;2;8078032;R;;MARIANTE;200;;;;;M;100;L;-30,02964909;-51,20425792
957;3;8078032;R;;MARIANTE;288;;;x;;M;100;L;-30,03004392;-51,20423482
958;2;8077125;R;;DONA LAURA;204;;;;;M;100;L;-30,02961308;-51,20375122
959;2;8078065;R;;DR FLORENCIO YGARTUA;319;;;x;;M;100;R;-30,02959171;-51,20303278
960;2;8077125;R;;DONA LAURA;300;;;x;;M;100;L;-30,0295755;-51,20294629
961;2;8078065;R;;DR FLORENCIO YGARTUA;401;;;x;;M;100;R;-30,03014139;-51,20299438
962;2;8078065;R;;DR FLORENCIO YGARTUA;491;;;x;;M;100;R;-30,03117812;-51,20292166
963;2;8078073;AV;;GOETHE;181;;x;;;M;100;R;-30,02614373;-51,19962783
964;3;8078073;AV;;GOETHE;137;;x;;;M;100;R;-30,02583174;-51,19977266
965;3;8077125;R;;DONA LAURA;386;;;x;;M;100;L;-30,02954975;-51,20239221
966;3;8078073;AV;;GOETHE;21;;x;;;M;100;R;-30,02481641;-51,20065597
967;2;7978133;R;;MOSTARDEIRO;577;;x;;;M;100;R;-30,02858878;-51,20099695
968;2;7978133;R;;MOSTARDEIRO;483;;x;;;M;100;R;-30,02866992;-51,20262798
969;2;7978133;R;;MOSTARDEIRO;455;;x;;;M;100;R;-30,02869079;-51,20302087
970;2;8078065;R;;DR FLORENCIO YGARTUA;265;;;x;;M;100;R;-30,02868215;-51,20309061
971;2;7978133;R;;MOSTARDEIRO;265;;x;;;M;100;R;-30,02876441;-51,20439214
972;2;8078024;R;;MIGUEL TOSTES;105;Ao lado 115;x;;;M;100;R;-30,02885237;-51,20591419
973;2;7877376;AV;;INDEPENDENCIA;1325;;x;;;M;100;R;-30,02900101;-51,20805104
974;2;7978141;PCA;;JULIO DE CASTILHOS;27;;;;;M;100;R;-30,02866933;-51,20831725
975;3;7978158;R;;VINTE QUATRO DE OUTUBRO;64;;x;;;M;100;L;-30,02826981;-51,20712254
976;2;8078099;R;;JARDIM CRISTOFEL;15;;x;;Alterado em 21/06/11 via para passeio nro 15 para;M;100;R;-30,02818447;-51,20738576
977;2;8078099;R;;JARDIM CRISTOFEL;99;;;;;M;100;R;-30,02745064;-51,20765692
978;2;8078099;R;;JARDIM CRISTOFEL;215;;;;;M;100;R;-30,02643725;-51,20803138
979;3;7978158;R;;VINTE QUATRO DE OUTUBRO;80;;x;;;M;100;L;-30,02819533;-51,20683762
980;3;8078024;R;;MIGUEL TOSTES;65;Esq. Mostardeiro, 5.ï¾¦ Av.C;x;;;M;100;R;-30,02861776;-51,20592107
981;3;8078032;R;;MARIANTE;16;;;x;;M;100;L;-30,02776425;-51,20438975
982;3;8078032;R;;MARIANTE;26;Lado oposto 25;;x;;M;100;L;-30,02789715;-51,20437946
983;2;8078065;R;;DR FLORENCIO YGARTUA;208;;;x;;M;100;L;-30,02860126;-51,20301288
